id,unique_terms,total_terms
1,239,1103
10,91,308
100,88,428
101,161,660
102,31,77
103,98,315
104,76,279
105,64,219
106,78,355
107,99,374
109,88,289
11,75,245
111,55,197
112,256,1123
113,82,286
114,316,1871
115,118,429
116,218,800
117,230,1090
118,264,1489
119,517,2569
12,90,353
120,123,543
121,87,465
122,71,247
123,172,1283
124,92,504
125,128,588
126,104,526
127,155,654
129,272,2052
13,62,196
130,37,145
131,66,278
132,113,509
133,45,184
134,189,691
135,223,1212
136,338,3325
137,143,637
14,93,367
140,207,1049
141,364,2139
142,93,396
143,261,1781
144,86,303
145,118,407
146,129,641
147,59,230
148,83,305
149,51,174
15,285,1207
150,121,836
151,163,725
152,358,2302
154,423,2529
155,160,752
156,241,1230
157,271,1624
158,271,1419
159,52,222
16,131,537
17,123,454
171,203,1003
172,126,508
173,288,1560
174,614,5499
175,169,786
176,55,203
177,144,674
178,64,243
179,30,113
18,140,553
180,132,656
19,64,237
197,167,957
199,77,216
2,489,2617
20,142,610
21,96,355
22,197,849
23,231,1004
30,66,221
300,281,1342
301,113,476
31,42,122
310,183,919
32,300,2139
320,61,218
321,210,1037
322,146,710
324,781,5177
325,125,504
326,129,556
327,671,6767
328,56,242
329,162,792
33,92,337
330,310,1637
331,356,2081
337,130,872
338,79,357
339,51,191
34,32,119
340,523,3356
341,588,3414
342,299,1791
343,71,263
345,541,3439
347,184,719
35,26,87
350,342,2090
351,210,1151
352,578,4474
353,272,1282
36,151,707
37,266,1277
370,229,2196
371,206,1266
372,154,573
373,309,2169
374,126,742
375,168,1103
38,376,2148
380,229,1485
381,67,435
382,69,453
383,108,468
384,42,216
385,42,232
386,79,445
387,67,372
388,357,2436
389,100,690
39,78,309
390,83,591
42,63,157
43,30,108
431,355,2300
44,93,515
443,285,1600
45,139,699
46,169,784
47,308,1887
48,99,567
49,79,347
50,125,409
52,370,1628
53,187,989
60,78,243
61,78,277
62,193,842
64,75,257
65,194,760
66,136,647
67,100,384
68,215,1092
69,150,671
70,237,1145
71,21,74
72,42,156
73,61,283
74,85,342
75,381,2252
78,400,2701
79,148,622
8,222,1087
80,55,172
81,46,162
83,103,381
84,68,287
85,287,1602
86,70,306
87,179,983
88,194,1009
9,203,898
90,105,418
91,110,462
93,397,2968
94,145,663
98,297,1522
99,252,1097
