word,count
code,4240
tt,3263
bip,2606
0,2146
key,2044
bitcoin,1974
1,1900
transaction,1701
sub,1619
2,1353
pre,1335
block,1238
https,1178
script,1053
s,1042
public,959
com,957
transactions,889
hash,842
bytes,832
byte,832
output,832
version,797
comments,755
ref,747
data,744
use,735
message,719
signature,701
address,698
new,687
github,683
input,664
mediawiki,640
keys,634
payment,628
number,614
value,605
size,595
set,573
type,544
time,522
32,519
3,508
m,480
witness,479
inputs,438
outputs,433
wallet,424
following,422
bit,420
blocks,420
protocol,416
4,415
p,412
org,408
x,401
n,394
peer,373
bips,372
implementation,368
network,365
string,359
case,358
node,348
path,347
index,336
private,333
return,333
derivation,332
valid,324
master,322
consensus,319
wallets,318
user,316
b,315
signatures,314
proof,312
g,310
bits,308
chain,308
standard,306
e,305
t,297
style,297
format,294
nodes,293
change,292
proposal,291
example,290
order,288
addresses,287
k,287
non,282
field,273
messages,272
length,270
psbt,267
license,258
sup,254
defined,252
let,251
required,250
stack,247
sender,245
taproot,242
possible,241
tree,241
specification,236
information,236
fork,235
support,235
scripts,235
single,234
hex,230
rules,229
r,229
blob,225
clients,224
sha256,224
secret,224
receiver,223
list,221
based,217
invalid,216
encoded,214
pubkey,212
spend,211
different,211
5,211
c,209
8,208
request,205
client,202
signer,201
fee,200
software,199
values,199
allow,198
future,198
peers,196
server,194
reference,192
allows,192
algorithm,191
nonce,190
color,189
filter,187
background,186
template,184
scriptpubkey,184
height,179
signing,177
id,177
bob,176
encoding,175
header,174
way,174
given,172
soft,172
bsd,171
fail,171
h,171
document,170
clause,170
alice,170
users,169
text,168
integer,168
pk,168
merkle,167
64,167
multiple,165
deployment,164
existing,163
optional,162
sent,161
segwit,161
v,160
align,160
created,159
limit,158
center,158
scheme,157
send,156
extended,156
policy,156
descriptor,156
test,155
result,154
specified,154
need,153
second,152
encryption,152
bech32,152
miners,151
blockchain,151
checksum,151
p2sh,151
u,151
