author,degree,betweenness,closeness,eigenvector
Pieter Wuille,0.1388888888888889,0.09994807892004154,0.18518518518518517,0.5590655690920634
Ava Chow,0.05555555555555555,0.024922118380062308,0.14524328249818444,0.28742327576783117
Antoine Poinsot,0.046296296296296294,0.01687435098650052,0.14668133480014667,0.2764654366014668
Andrew Poelstra,0.046296296296296294,0.006749740394600208,0.14109347442680775,0.2687906790701238
Sanket Kanjalkar,0.037037037037037035,0.0,0.13976240391334732,0.2608393948454047
Tim Ruffing,0.046296296296296294,0.003721010730356525,0.13227513227513227,0.22703904864894559
Jonas Schnelli,0.046296296296296294,0.013153340256143996,0.13227513227513227,0.19915723658092568
Peter Todd,0.046296296296296294,0.018431983385254414,0.14109347442680775,0.19542857314175463
Jonas Nick,0.037037037037037035,0.0034614053305642095,0.13110455588331693,0.19030142374321626
Dhruv Mehta,0.027777777777777776,0.0,0.1299545159194282,0.18465675330877607
Greg Maxwell,0.027777777777777776,0.0,0.1334668001334668,0.1740214226952532
Rusty Russell,0.027777777777777776,0.0,0.1334668001334668,0.1740214226952532
Eric Lombrozo,0.046296296296296294,0.0496711664935964,0.14814814814814814,0.15513564546505978
Anthony Towns,0.037037037037037035,0.013326410522672206,0.13110455588331693,0.1510576449024129
Johnson Lau,0.018518518518518517,0.0,0.13591573224600748,0.1338548497648529
Gleb Naumenko,0.009259259259259259,0.0,0.12449424214130096,0.1047794882369733
Matt Corallo,0.046296296296296294,0.02596053997923157,0.11757789535567312,0.09900096631430726
josibake,0.037037037037037035,0.006403599861543787,0.10893246187363834,0.08421294211260143
Andrew Toth,0.037037037037037035,0.006403599861543787,0.10893246187363834,0.08421294211260143
Elliott Jin,0.018518518518518517,0.0,0.10078105316200554,0.07821751782862241
Mark Friedenbach,0.05555555555555555,0.02795084804430599,0.11757789535567312,0.05374622752455962
BtcDrak,0.046296296296296294,0.008740048459674628,0.11484352569623886,0.05200585932811425
Leon Olsson Curr and Pearlwort Sneed,0.009259259259259259,0.0,0.102880658436214,0.05037646986841767
Велеслав,0.018518518518518517,0.0,0.09876543209876543,0.04593491680035786
Daniel Pape,0.018518518518518517,0.0,0.09876543209876543,0.04593491680035786
Ruben Somsen,0.027777777777777776,0.0,0.08563476771569256,0.03884683836616548
Sebastian Falbesoner,0.027777777777777776,0.0,0.08563476771569256,0.03884683836616548
David A. Harding,0.009259259259259259,0.0,0.102880658436214,0.03662702017927874
William Swanson,0.009259259259259259,0.0,0.10658140154543032,0.029075361527879606
Christian Decker,0.009259259259259259,0.0,0.09746588693957114,0.02831106689839962
Karl-Johan Alm,0.009259259259259259,0.0,0.09746588693957114,0.02831106689839962
Nicolas Dorier,0.027777777777777776,0.0,0.09088843444671665,0.02439134723115079
kinoshitajona,0.027777777777777776,0.0,0.09088843444671665,0.02439134723115079
Kalle Alm,0.018518518518518517,0.0,0.09033423667570008,0.019819946269290727
Mike Hearn,0.018518518518518517,0.006749740394600208,0.09088843444671665,0.019230133378873707
Nils Schneider,0.009259259259259259,0.0,0.08978675645342311,0.01855465827063076
Bastien Teinturier,0.009259259259259259,0.0,0.08978675645342311,0.01855465827063076
Thomas Kerin,0.027777777777777776,0.013153340256143996,0.09201748332183114,0.011026345371433259
Gavin Andresen,0.009259259259259259,0.0,0.07334066740007333,0.003604091622811635
Jean-Pierre Rupp,0.018518518518518517,0.0,0.0744463056020845,0.002543187814533621
Ruben de Vries,0.018518518518518517,0.0,0.0744463056020845,0.002543187814533621
Andrew Miller,0.046296296296296294,0.0,0.046296296296296294,0.00030785310079833476
Brad Denby,0.046296296296296294,0.0,0.046296296296296294,0.00030785310079833476
Giulia Fanti,0.046296296296296294,0.0,0.046296296296296294,0.00030785310079833476
Surya Bakshi,0.046296296296296294,0.0,0.046296296296296294,0.00030785310079833476
Shaileshh Bojja Venkatakrishnan,0.046296296296296294,0.0,0.046296296296296294,0.00030785310079833476
Pramod Viswanath,0.046296296296296294,0.0,0.046296296296296294,0.00030785310079833476
Hugo Nguyen,0.037037037037037035,0.0,0.037037037037037035,8.080026042607643e-14
Peter Gray,0.037037037037037035,0.0,0.037037037037037035,8.080026042607643e-14
Marko Bencun,0.037037037037037035,0.0,0.037037037037037035,8.080026042607643e-14
Aaron Chen,0.037037037037037035,0.0,0.037037037037037035,8.080026042607643e-14
Rodolfo Novak,0.037037037037037035,0.0,0.037037037037037035,8.080026042607643e-14
Aaron Voisine,0.06481481481481481,0.003288335064035999,0.06584362139917695,3.552916821752586e-16
Sean Bowe,0.037037037037037035,0.0012114918656974732,0.04938271604938271,2.2084906419531247e-16
Marek Palatinus,0.027777777777777776,0.0,0.045584045584045586,2.0852656632636318e-16
Pavol Rusnak,0.027777777777777776,0.0,0.045584045584045586,2.0852656632636318e-16
Justin Newton,0.027777777777777776,0.0,0.042328042328042326,2.0153671580191682e-16
Matt David,0.027777777777777776,0.0,0.042328042328042326,2.0153671580191682e-16
James MacWhyte,0.027777777777777776,0.0,0.042328042328042326,2.0153671580191682e-16
Mike Caldwell,0.009259259259259259,0.0,0.037037037037037035,9.441932055724548e-17
Daira Hopwood,0.009259259259259259,0.0,0.031189083820662766,5.869098443103658e-17
Ethan Heilman,0.027777777777777776,0.00034614053305642093,0.027777777777777776,1.0856582239919718e-37
