word,count
code,3070
bip,2064
tt,1694
0,1495
bitcoin,1429
transaction,1336
1,1252
key,1237
block,1076
pre,939
2,926
script,825
https,791
s,772
com,704
version,691
transactions,672
comments,670
hash,668
new,587
signature,564
message,563
public,562
sub,539
use,530
data,528
byte,527
number,523
address,516
size,506
github,502
bytes,497
output,497
mediawiki,489
set,460
value,457
type,453
time,453
witness,440
input,439
payment,409
blocks,393
m,378
bit,375
keys,361
32,344
3,326
network,321
following,314
consensus,311
protocol,305
node,304
inputs,301
4,300
ref,300
implementation,291
outputs,289
n,284
style,282
wallet,276
bips,273
peer,271
signatures,264
path,263
nodes,261
org,260
chain,247
wallets,246
format,244
bits,239
change,236
standard,236
return,235
string,230
psbt,230
private,229
case,228
index,228
fork,227
derivation,221
non,219
p,216
tree,216
proof,215
valid,215
field,214
example,213
messages,211
proposal,209
required,208
addresses,207
user,206
stack,204
license,202
sender,193
sha256,193
defined,190
x,190
sup,190
specification,189
master,189
length,189
color,189
clients,188
server,186
background,186
rules,184
t,182
filter,182
possible,181
request,181
scripts,180
receiver,179
order,179
software,175
client,173
deployment,168
k,168
align,168
single,165
soft,164
support,164
header,163
text,163
template,162
list,160
based,160
peers,157
invalid,157
encoded,157
scriptpubkey,156
center,153
height,152
8,152
pubkey,151
id,147
5,147
miners,145
different,145
future,144
blob,143
merkle,142
e,141
information,141
allow,141
hex,141
black,141
tx,140
h,140
reference,139
given,138
allows,135
bsd,134
clause,133
p2sh,133
pay,131
r,131
segwit,131
document,130
created,130
nversion,130
values,130
00,129
limit,129
purpose,128
http,126
blockchain,126
hashes,126
way,124
serialized,124
second,123
integer,123
c,122
dandelion,121
funds,120
original,119
sequence,119
description,118
service,118
specified,117
existing,117
result,116
class,116
encoding,116
alice,116
lock,115
taproot,115
process,113
sent,113
users,113
mining,113
signer,113
root,112
previous,111
algorithm,111
validation,111
fee,111
send,110
uri,110
bip32,110
