year,status,count
2011,Deferred,1
2011,Final,3
2011,Replaced,2
2011,Withdrawn,2
2012,Draft,1
2012,Final,10
2012,Proposed,1
2012,Rejected,3
2012,Withdrawn,1
2013,Draft,1
2013,Final,5
2013,Proposed,1
2014,Deferred,2
2014,Final,4
2014,Obsolete,1
2014,Proposed,2
2014,Withdrawn,1
2015,Active,1
2015,Draft,2
2015,Final,7
2015,Proposed,5
2015,Rejected,10
2015,Withdrawn,6
2016,Active,1
2016,Draft,3
2016,Final,7
2016,Rejected,5
2016,Withdrawn,2
2017,Draft,13
2017,Final,4
2017,Rejected,6
2017,Withdrawn,2
2018,Draft,4
2018,Replaced,1
2019,Draft,7
2019,Final,1
2019,Proposed,1
2020,Draft,8
2020,Proposed,4
2021,Draft,11
2021,Proposed,1
