id,unique_terms,total_terms
1,236,1087
10,88,296
100,88,421
101,159,650
102,27,66
103,95,305
104,73,268
105,63,212
106,77,346
107,98,366
109,86,280
11,72,233
110,413,1846
111,55,190
112,255,1113
113,82,279
114,313,1860
115,115,419
116,218,792
117,230,1095
118,265,1490
119,516,2559
12,88,343
120,122,533
121,86,455
122,69,235
123,167,1267
124,89,494
125,128,588
126,103,519
127,152,642
128,252,1191
129,271,2043
13,58,182
130,34,135
131,65,273
132,111,497
133,43,175
134,184,672
135,220,1198
136,336,3313
137,139,623
14,102,382
140,205,1036
141,364,2131
142,90,386
143,261,1773
144,84,292
145,116,397
146,129,633
147,58,221
148,83,298
149,49,165
15,280,1192
150,122,838
151,162,724
152,357,2301
154,420,2518
155,159,747
156,240,1222
157,270,1615
158,269,1407
159,52,215
16,129,525
17,122,445
171,203,1004
172,126,508
173,288,1560
174,615,5518
175,168,777
176,54,201
177,140,663
178,65,244
179,28,105
18,136,540
180,130,649
19,64,233
197,166,947
199,77,216
2,488,2610
20,140,601
21,95,348
22,194,836
23,225,987
3,609,4081
30,65,213
300,280,1332
301,113,469
31,39,112
310,178,906
32,303,2150
320,59,208
321,209,1028
322,145,709
324,795,5277
325,123,494
326,128,545
327,672,6770
328,52,230
329,160,781
33,91,331
330,309,1626
331,355,2074
337,129,866
338,79,350
339,49,182
34,30,110
340,523,3356
341,589,3417
342,300,1786
343,70,255
345,538,3428
346,245,1187
347,225,914
348,114,437
349,64,228
35,23,77
350,341,2079
351,208,1143
352,595,4653
353,273,1276
36,150,700
360,455,2944
37,266,1277
370,227,2188
371,203,1255
372,150,559
373,307,2160
374,130,760
375,167,1096
379,355,2977
38,377,2151
380,225,1480
381,64,426
382,66,444
383,106,459
384,39,207
385,40,224
386,75,434
387,64,361
388,357,2430
389,97,679
39,78,308
390,86,613
392,104,566
42,64,159
43,27,98
431,352,2289
433,72,234
434,205,1101
44,93,515
442,204,1014
443,281,1588
45,134,685
46,166,772
47,307,1884
48,96,559
49,79,347
50,120,396
52,369,1621
53,187,982
54,279,1257
60,80,247
61,78,278
62,190,830
64,72,245
65,192,748
66,133,636
67,100,377
68,212,1080
69,148,659
70,232,1126
71,19,66
72,42,149
73,59,274
74,84,342
75,379,2248
77,430,2617
78,399,2691
79,145,610
8,218,1073
80,51,160
81,42,150
83,101,374
84,68,287
85,287,1601
86,69,300
87,177,971
88,194,999
89,393,2904
9,201,889
90,105,418
91,110,456
93,397,2961
94,143,653
98,295,1510
99,247,1079
