author,degree,betweenness,closeness,eigenvector
Brad Denby,0.05319148936170213,0.0,0.05319148936170213,0.4082482875961534
Andrew Miller,0.05319148936170213,0.0,0.05319148936170213,0.4082482875961534
Giulia Fanti,0.05319148936170213,0.0,0.05319148936170213,0.4082482875961534
Surya Bakshi,0.05319148936170213,0.0,0.05319148936170213,0.4082482875961534
Shaileshh Bojja Venkatakrishnan,0.05319148936170213,0.0,0.05319148936170213,0.4082482875961534
Pramod Viswanath,0.05319148936170213,0.0,0.05319148936170213,0.4082482875961534
Pieter Wuille,0.09574468085106383,0.043010752688172046,0.12015018773466832,5.759441966601672e-05
Eric Lombrozo,0.05319148936170213,0.03271562571493938,0.11141199226305608,3.94221324981927e-05
Mark Friedenbach,0.06382978723404255,0.020475863646762755,0.09427168576104746,3.581957977970388e-05
BtcDrak,0.05319148936170213,0.006062685884237017,0.09011264080100125,3.375863395397637e-05
Peter Todd,0.05319148936170213,0.022649279341111876,0.09883321894303362,3.278255818914784e-05
Greg Maxwell,0.031914893617021274,0.0,0.09145760558907588,2.9387761409568054e-05
Rusty Russell,0.031914893617021274,0.0,0.09145760558907588,2.9387761409568054e-05
Jonas Nick,0.031914893617021274,0.00022878059940517045,0.08630506442912796,2.4311793851758958e-05
Johnson Lau,0.02127659574468085,0.0,0.09574468085106383,2.3806231781997985e-05
Nicolas Dorier,0.031914893617021274,0.0,0.07125185551707075,2.2626669603443558e-05
kinoshitajona,0.031914893617021274,0.0,0.07125185551707075,2.2626669603443558e-05
Anthony Towns,0.031914893617021274,0.00526195378631892,0.08630506442912796,2.138577111251024e-05
Tim Ruffing,0.02127659574468085,0.0,0.08394054211600116,2.009812082657823e-05
Kalle Alm,0.02127659574468085,0.0,0.07043286867204696,1.707415347148729e-05
Gleb Naumenko,0.010638297872340425,0.0,0.08280621046578493,1.4132520186757753e-05
Thomas Kerin,0.031914893617021274,0.0100663463738275,0.0729483282674772,1.0459358974907511e-05
William Swanson,0.010638297872340425,0.0,0.07855973813420622,9.673711595240229e-06
Matt Corallo,0.031914893617021274,0.01487073896133608,0.07756531106921627,9.185686451334092e-06
David A. Harding,0.010638297872340425,0.0,0.072090112640801,8.044121816880642e-06
Karl-Johan Alm,0.010638297872340425,0.0,0.06518786781349026,5.247616853387919e-06
Jean-Pierre Rupp,0.02127659574468085,0.0,0.05780810919309514,3.4014019354714955e-06
Ruben de Vries,0.02127659574468085,0.0,0.05780810919309514,3.4014019354714955e-06
Mike Hearn,0.02127659574468085,0.00526195378631892,0.06127659574468084,2.3983575492624953e-06
Nils Schneider,0.010638297872340425,0.0,0.06007509386733416,2.2539550414461083e-06
Aaron Voisine,0.07446808510638298,0.004346831388698238,0.07565011820330969,1.2330957337140903e-06
Sean Bowe,0.0425531914893617,0.001601464195836193,0.05673758865248227,7.664914562223968e-07
Marek Palatinus,0.031914893617021274,0.0,0.05237315875613748,7.23724286842277e-07
Pavol Rusnak,0.031914893617021274,0.0,0.05237315875613748,7.23724286842277e-07
Justin Newton,0.031914893617021274,0.0,0.048632218844984795,6.994649098464116e-07
Matt David,0.031914893617021274,0.0,0.048632218844984795,6.994649098464116e-07
James MacWhyte,0.031914893617021274,0.0,0.048632218844984795,6.994649098464116e-07
Gavin Andresen,0.010638297872340425,0.0,0.049818370524130774,5.884985607968638e-07
Mike Caldwell,0.010638297872340425,0.0,0.0425531914893617,3.276971209866009e-07
Daira Hopwood,0.010638297872340425,0.0,0.03583426651735722,2.0369630402380074e-07
Luke Dashjr,0.031914893617021274,0.0004575611988103409,0.031914893617021274,7.787586729687691e-17
Emil Engler,0.02127659574468085,0.0,0.023936170212765957,6.655565053266569e-17
MarcoFalke,0.02127659574468085,0.0,0.023936170212765957,6.655565053266569e-17
Shaolin Fry,0.010638297872340425,0.0,0.019148936170212762,3.5886066189903475e-17
Jeff Garzik,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Manuel Araoz,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Ryan X. Charles,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Matias Alejo Garcia,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Tom Harding,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Dagur Valberg Johannsson,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Велеслав,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Jonas Schnelli,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Daniel Pape,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Olaoluwa Osuntokun,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Alex Akselrod,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Jim Posen,0.02127659574468085,0.0,0.02127659574468085,2.832791554081515e-18
Amir Taaki,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Patrick Strateman,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Justus Ranvier,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Jimmy Song,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Omar Shibli,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Nicholas Gregory,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Matthew Black,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Tony Cai,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Paul Sztorc,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
CryptAxe,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Pavel Moravec,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Jan Čapek,0.010638297872340425,0.0,0.010638297872340425,2.600236514778254e-28
Alan Reiner,0.0,0.0,0.0,1.8042765301111805e-45
Stefan Thomas,0.0,0.0,0.0,1.8042765301111805e-45
Daniel Weigl,0.0,0.0,0.0,1.8042765301111805e-45
Kristov Atlas,0.0,0.0,0.0,1.8042765301111805e-45
Stephen Pair,0.0,0.0,0.0,1.8042765301111805e-45
Toby Padilla,0.0,0.0,0.0,1.8042765301111805e-45
Ryan Havar,0.0,0.0,0.0,1.8042765301111805e-45
Ethan Kosakovsky,0.0,0.0,0.0,1.8042765301111805e-45
Suhas Daftuar,0.0,0.0,0.0,1.8042765301111805e-45
James Hilliard,0.0,0.0,0.0,1.8042765301111805e-45
Jorge Timón,0.0,0.0,0.0,1.8042765301111805e-45
t.khan,0.0,0.0,0.0,1.8042765301111805e-45
Upal Chakraborty,0.0,0.0,0.0,1.8042765301111805e-45
Washington Y. Sanchez,0.0,0.0,0.0,1.8042765301111805e-45
Christian Decker,0.0,0.0,0.0,1.8042765301111805e-45
Jeremy Rubin,0.0,0.0,0.0,1.8042765301111805e-45
Kalle Rosenbaum,0.0,0.0,0.0,1.8042765301111805e-45
Marco Pontello,0.0,0.0,0.0,1.8042765301111805e-45
Steven Roose,0.0,0.0,0.0,1.8042765301111805e-45
Chris Priest,0.0,0.0,0.0,1.8042765301111805e-45
Andy Chase,0.0,0.0,0.0,1.8042765301111805e-45
Alex Morcos,0.0,0.0,0.0,1.8042765301111805e-45
Tom Zander,0.0,0.0,0.0,1.8042765301111805e-45
Sancho Panza,0.0,0.0,0.0,1.8042765301111805e-45
Christopher Gilliard,0.0,0.0,0.0,1.8042765301111805e-45
Wladimir J. van der Laan,0.0,0.0,0.0,1.8042765301111805e-45
Andrew Chow,0.0,0.0,0.0,1.8042765301111805e-45
