source,target,value
3,123,1
77,21,1
77,78,1
77,173,1
77,174,1
118,340,1
118,341,1
118,342,1
157,158,1
158,157,1
341,340,1
342,340,1
342,341,1
372,174,1
373,32,1
373,174,1
373,327,1
373,328,1
373,370,1
375,352,1
375,370,1
375,374,1
379,380,1
381,380,1
382,380,1
383,380,1
384,380,1
385,380,1
386,380,1
387,380,1
389,380,1
390,380,1
390,328,1
