word,count
code,3144
bip,2091
tt,1684
0,1521
bitcoin,1474
transaction,1374
1,1305
key,1283
pre,1123
block,1101
2,975
https,832
script,828
s,810
com,734
version,701
hash,682
comments,679
transactions,675
new,596
bytes,591
public,589
sub,589
message,578
byte,577
signature,569
address,551
use,547
data,536
github,528
number,525
output,519
size,516
mediawiki,494
set,488
value,480
input,475
type,474
time,453
witness,446
payment,429
blocks,398
m,378
keys,377
bit,367
32,358
3,338
following,333
4,319
inputs,319
network,312
n,310
ref,308
outputs,308
node,307
protocol,306
consensus,303
implementation,300
wallet,288
style,285
string,283
bips,279
peer,274
path,274
case,273
org,272
signatures,268
wallets,263
chain,261
nodes,259
format,247
private,247
standard,246
return,241
bits,241
p,239
psbt,239
change,235
index,232
non,230
fork,229
derivation,223
field,222
valid,222
example,221
addresses,221
proof,215
proposal,214
messages,214
x,213
required,211
tree,211
user,208
license,204
stack,204
length,199
master,198
defined,197
sender,194
sha256,193
sup,190
clients,190
specification,189
server,189
color,189
t,186
possible,186
order,186
hex,186
background,186
rules,185
scripts,184
filter,182
request,179
software,179
receiver,177
client,173
single,169
support,168
k,168
list,166
soft,166
based,166
header,164
deployment,164
text,163
height,163
invalid,163
align,163
template,162
encoded,160
peers,157
scriptpubkey,157
8,157
different,154
r,152
5,151
center,151
future,150
information,148
miners,148
blob,148
reference,146
allow,146
pubkey,146
alice,144
e,143
id,142
h,142
merkle,141
black,141
created,140
c,140
bob,140
allows,139
p2sh,139
given,138
bsd,136
blockchain,136
clause,135
pay,135
integer,134
hashes,133
segwit,133
document,130
purpose,130
values,130
nversion,129
00,129
limit,129
http,127
taproot,127
way,126
second,125
service,125
serialized,124
original,123
fee,123
send,121
result,121
sequence,121
dandelion,121
specified,120
funds,120
sent,119
tx,119
description,118
extended,118
existing,118
validation,118
unsigned,117
base64,117
signer,117
lock,116
class,116
encoding,116
bip32,116
process,115
previous,115
users,114
