year,status,count
2011,Closed,5
2011,Deployed,3
2012,Closed,5
2012,Complete,1
2012,Deployed,9
2012,Draft,1
2013,Closed,1
2013,Deployed,6
2014,Closed,4
2014,Complete,1
2014,Deployed,5
2015,Closed,16
2015,Complete,2
2015,Deployed,12
2015,Draft,1
2016,Closed,9
2016,Deployed,8
2016,Draft,1
2017,Closed,9
2017,Deployed,8
2017,Draft,8
2018,Closed,1
2018,Draft,4
2019,Complete,1
2019,Deployed,3
2019,Draft,6
2020,Closed,1
2020,Complete,3
2020,Deployed,7
2020,Draft,1
2021,Deployed,11
2021,Draft,2
2022,Complete,1
2022,Deployed,1
2022,Draft,6
2023,Closed,1
2023,Complete,2
2023,Draft,3
2024,Complete,4
2024,Deployed,2
2024,Draft,9
2025,Deployed,1
2025,Draft,9
2026,Draft,3
