word,count
code,3942
tt,3019
bip,2526
0,2101
key,2012
1,1859
sub,1838
bitcoin,1832
transaction,1636
2,1305
pre,1221
block,1197
https,1135
s,1071
script,1057
public,959
com,936
transactions,859
hash,833
version,789
byte,784
bytes,782
comments,747
output,746
signature,724
message,716
use,710
data,670
github,669
new,668
ref,665
address,657
x,625
keys,616
number,613
mediawiki,605
input,605
size,598
value,573
type,565
set,550
payment,534
time,525
32,520
3,499
witness,478
m,470
n,438
blocks,426
bit,420
inputs,416
4,409
protocol,408
p,407
wallet,406
following,403
outputs,402
org,390
peer,371
implementation,368
bips,367
network,357
node,348
path,347
e,332
case,332
master,329
derivation,328
string,326
private,325
return,322
b,322
wallets,317
consensus,316
signatures,314
k,313
non,312
valid,308
g,305
t,298
style,297
index,295
user,290
example,290
nodes,290
change,288
standard,287
chain,287
proposal,282
bits,282
format,279
addresses,279
order,278
stack,274
messages,272
length,265
proof,262
field,259
sup,252
psbt,251
sender,246
let,246
license,244
required,243
scripts,243
defined,242
possible,236
fork,236
single,230
support,230
specification,229
r,228
taproot,228
rules,225
sha256,225
blob,224
information,223
receiver,223
based,221
list,220
tree,218
secret,217
clients,215
5,209
different,208
c,208
hex,203
8,202
software,199
invalid,199
reference,198
request,197
client,197
fee,197
spend,196
encoded,196
algorithm,195
allow,194
server,192
peers,191
h,191
color,189
pubkey,187
u,187
nonce,187
filter,187
background,186
signer,185
future,183
template,182
scriptpubkey,181
y,179
signing,179
values,178
v,178
allows,177
id,177
bob,176
way,174
encoding,173
soft,172
given,171
height,171
deployment,171
header,170
alice,170
document,168
text,168
users,168
bsd,162
fail,162
clause,161
created,160
align,160
existing,159
result,158
limit,158
send,156
multiple,156
extended,156
sent,155
optional,155
integer,155
policy,155
pk,155
need,154
20,154
center,154
descriptor,153
instead,152
specified,152
encryption,152
purpose,151
test,150
miners,149
p2sh,149
scheme,148
blockchain,146
checksum,146
process,145
