author,degree,betweenness,closeness,eigenvector
Brad Denby,0.045871559633027525,0.0,0.045871559633027525,0.40824828617757564
Andrew Miller,0.045871559633027525,0.0,0.045871559633027525,0.40824828617757564
Giulia Fanti,0.045871559633027525,0.0,0.045871559633027525,0.40824828617757564
Surya Bakshi,0.045871559633027525,0.0,0.045871559633027525,0.40824828617757564
Shaileshh Bojja Venkatakrishnan,0.045871559633027525,0.0,0.045871559633027525,0.40824828617757564
Pramod Viswanath,0.045871559633027525,0.0,0.045871559633027525,0.40824828617757564
Pieter Wuille,0.09174311926605505,0.03967040434930343,0.11484879374787632,7.531820107153598e-05
Eric Lombrozo,0.045871559633027525,0.027353041114509008,0.1033639143730887,4.542223898414322e-05
Peter Todd,0.045871559633027525,0.01851851851851852,0.09256469943858689,4.1128959604159e-05
Mark Friedenbach,0.05504587155963303,0.01673462453278967,0.08613659531090724,3.7503941321753526e-05
Greg Maxwell,0.027522935779816515,0.0,0.08613659531090724,3.7011291189276754e-05
Rusty Russell,0.027522935779816515,0.0,0.08613659531090724,3.7011291189276754e-05
BtcDrak,0.045871559633027525,0.005011892626571526,0.08269113149847096,3.542767086066279e-05
Jonas Nick,0.027522935779816515,0.00025484199796126404,0.08269113149847096,3.1397603468384446e-05
Anthony Towns,0.03669724770642202,0.008324838600067958,0.08380857922142326,2.9126341092650044e-05
Johnson Lau,0.01834862385321101,0.0,0.08988166467225103,2.912078056032661e-05
Tim Ruffing,0.01834862385321101,0.0,0.07951070336391437,2.5737896982807266e-05
Nicolas Dorier,0.027522935779816515,0.0,0.06528247223563496,2.3182723029031895e-05
kinoshitajona,0.027522935779816515,0.0,0.06528247223563496,2.3182723029031895e-05
Andrew Chow,0.009174311926605505,0.0,0.07850423876437115,1.816539372619706e-05
Gleb Naumenko,0.009174311926605505,0.0,0.07850423876437115,1.816539372619706e-05
Kalle Alm,0.01834862385321101,0.0,0.06460244648318043,1.759101942131796e-05
Matt Corallo,0.027522935779816515,0.012062521236833164,0.07211435886494559,1.1271214955650472e-05
William Swanson,0.009174311926605505,0.0,0.07296276308688614,1.0955386834129549e-05
Thomas Kerin,0.027522935779816515,0.00815494393476045,0.06668639636973463,1.0684306593943372e-05
David A. Harding,0.009174311926605505,0.0,0.06741124850418827,9.919495539829561e-06
Christian Decker,0.009174311926605505,0.0,0.06264479658975072,7.024716189140184e-06
Karl-Johan Alm,0.009174311926605505,0.0,0.06264479658975072,7.024716189140184e-06
