source,target,value
118,340,1
118,341,1
118,342,1
341,340,1
342,340,1
342,341,1
372,174,1
2,1,1
78,79,1
135,9,1
173,142,1
324,151,1
350,173,1
1,2,1
79,78,1
151,324,1
173,350,1
